Street,Number,Zip
Oulof Palme,2,25439
Oulof Palme,4,15772
Oulof Palme,4,25439
Oulof Palme,6,15772
Oulof Palme,6,93489
Oulof Palme,9,93489
Papagou,1,93489
Papagou,2,48859
Papagou,6,93489
Papagou,9,15772
Papagou,11,25439
Xalandriou,7,18975
Xalandriou,7,48859
Xalandriou,8,18975
Xalandriou,10,23885
Syggrou,2,18975
Syggrou,4,23885
Syggrou,8,15772
Syggrou,10,93489
Athinwn,1,15771
Athinwn,1,48859
Athinwn,2,15772
Athinwn,2,23885
Athinwn,5,23885
Athinwn,6,25439
Athinwn,6,18975
Athinwn,8,18975
Athinwn,8,23885
Spartis,1,23885
Spartis,5,15772
Spartis,7,25439
Spartis,8,48859
Spartis,9,23885
Pelika,4,15772
Pelika,4,18975
Pelika,5,25439
Pelika,6,48859
Pelika,10,48859
Pelika,11,23885
